SAUID,system,dia_mm,year,length_m
22172,汚水,150.0,,31.205006404080176
22173,汚水,150.0,,30.11147356341357
22174,汚水,150.0,,29.910138778718228
22175,汚水,150.0,,22.83259568333679
22176,汚水,150.0,,48.06729197881235
22177,汚水,150.0,,4.7934368672207
22178,汚水,150.0,2016.0,17.486693854060515
22179,汚水,150.0,,44.587081268051364
22180,汚水,150.0,,7.272950755421487
22181,汚水,150.0,2016.0,7.365415466895976
22182,汚水,200.0,,32.83728102912042
22183,汚水,200.0,,31.66648447408233
22184,汚水,150.0,,47.97800020483099
22185,汚水,150.0,,3.9191566694863016
22186,汚水,250.0,,16.85908790533847
22187,汚水,250.0,,6.157128226702797
22188,汚水,150.0,2016.0,9.067164361295657
22189,汚水,150.0,2016.0,3.3169458843911865
22190,汚水,150.0,2016.0,12.552970468900845
22191,汚水,150.0,2016.0,13.703234727610019
22192,汚水,150.0,2016.0,14.367786085547982
22193,汚水,150.0,2016.0,7.179813437690911
22194,汚水,150.0,2016.0,7.275217742189065
22195,汚水,150.0,2016.0,4.868603906659854
22196,汚水,150.0,2016.0,6.142029064493109
22197,汚水,150.0,2016.0,10.155863823431973
22198,汚水,150.0,2016.0,13.142379883416806
22199,汚水,150.0,2016.0,8.647531728765037
22200,汚水,150.0,2016.0,8.074939504418472
22201,汚水,150.0,,11.694017139851901
22202,汚水,150.0,,1.8263696230632456
22203,汚水,150.0,2016.0,4.364626215384506
22203,汚水,150.0,2016.0,19.724822344280092
22204,汚水,150.0,,60.48593675137321
22205,雨水,800.0,2016.0,62.92401986754498
22206,雨水,400.0,,43.77706956201894
22207,雨水,1000.0,2016.0,4.389524347798282
22208,雨水,1000.0,2016.0,33.243167794298834
22209,雨水,1000.0,2016.0,8.319849209872675
22210,雨水,1000.0,2016.0,29.306720065550657
22211,雨水,1000.0,2016.0,6.040776936771625
22212,雨水,1000.0,2016.0,15.673107317954477
22213,雨水,1000.0,2016.0,6.90438483863462
22214,雨水,1000.0,2016.0,10.108604750416916
22215,雨水,1000.0,2016.0,6.107428414253427
22217,汚水,150.0,2016.0,37.88233678922204
22218,汚水,250.0,,24.408471349677455
22219,汚水,250.0,,19.296795053936194
22220,汚水,250.0,,7.1696856276915515
22221,雨水,,2016.0,2.923390738068087
22222,雨水,,2016.0,22.921968040336417
22223,雨水,,2016.0,11.88047506140651
22224,雨水,,2016.0,39.08323807397892
22225,汚水,150.0,2016.0,75.0799630394041
22226,汚水,150.0,2016.0,74.8316986978196
22227,汚水,150.0,2016.0,75.23779918365013
22228,汚水,150.0,2016.0,19.81298183009981
22229,汚水,150.0,2016.0,3.6929453015193654
22230,汚水,150.0,2016.0,15.343583243319259
22231,汚水,200.0,,18.465626387232525
22232,汚水,200.0,,9.605806421130207
22233,汚水,150.0,,39.776162973015545
22234,汚水,150.0,2016.0,33.59284306216853
22235,汚水,150.0,2016.0,19.45757579967639
22236,汚水,150.0,2016.0,13.160683036992136
22237,汚水,150.0,2016.0,54.141168064224985
22238,汚水,150.0,2016.0,31.002757570906542
22239,汚水,150.0,2016.0,4.0876346460902795
22240,汚水,150.0,2016.0,34.69982238476678
22241,汚水,250.0,,33.72855528984303
22242,汚水,150.0,2016.0,2.652817370277536
22243,汚水,150.0,2016.0,9.382615946521629
22244,汚水,150.0,2016.0,35.20217683753004
22245,汚水,150.0,2016.0,14.758040113780629
22246,汚水,150.0,2016.0,19.247856452090975
22247,汚水,150.0,2016.0,25.736215602389944
22248,汚水,150.0,,22.576643014526177
22249,汚水,150.0,,47.47739874909468
22250,汚水,150.0,,39.85613585210956
22251,汚水,150.0,2016.0,40.56165509534333
22252,汚水,150.0,2016.0,61.88251845356663
22253,汚水,150.0,2016.0,34.631357077085504
22254,汚水,150.0,2016.0,9.09215975442579
22255,汚水,150.0,2016.0,26.2652446533975
22256,汚水,150.0,2016.0,34.46646254295396
22257,汚水,150.0,2016.0,48.9441037488201
