SAUID,system,dia_mm,road_up,road_dn,length_m
1492,汚水,150.0,愛知県,愛知県,24.845133249500343
11705,雨水,300.0,建設省,建設省,24.751970639071253
10882,雨水,600.0,愛知県,愛知県,24.66777676253038
5717,雨水,1500.0,愛知県,愛知県,24.60011053345574
19977,雨水,450.0,建設省,建設省,24.40790606323711
5017,汚水,200.0,愛知県,愛知県,23.969682970172794
7168,汚水,200.0,愛知県,愛知県,23.653039760952655
11672,雨水,400.0,建設省,建設省,23.21969773929827
13220,汚水,150.0,建設省,建設省,23.060621254869698
1366,汚水,200.0,愛知県,愛知県,22.904864501970053
10998,汚水,200.0,建設省,建設省,22.601731418124114
14750,汚水,150.0,建設省,建設省,22.58994781015236
2210,汚水,200.0,愛知県,愛知県,22.345648095471873
2433,汚水,200.0,愛知県,愛知県,22.096509540889823
2434,汚水,200.0,愛知県,愛知県,21.877865626934177
17275,汚水,200.0,愛知県,愛知県,21.854715220701358
2694,汚水,200.0,愛知県,愛知県,21.763107435027756
6495,汚水,150.0,建設省,建設省,21.502330265292983
10310,汚水,250.0,愛知県,愛知県,21.498976366460894
10316,汚水,250.0,愛知県,愛知県,21.453619926224633
11642,雨水,700.0,建設省,建設省,21.404419907417516
11641,雨水,700.0,建設省,建設省,21.390971433893746
9017,汚水,200.0,愛知県,愛知県,21.295942911713357
11704,雨水,300.0,建設省,建設省,21.27161807419815
1200,汚水,150.0,愛知県,愛知県,21.19889861605352
1367,汚水,200.0,愛知県,愛知県,21.174859532885748
1421,汚水,200.0,愛知県,愛知県,21.04752521033985
1373,汚水,200.0,愛知県,愛知県,21.04205447382211
5451,汚水,200.0,愛知県,愛知県,20.862231780394023
11684,雨水,300.0,建設省,建設省,20.686711789180684
11685,雨水,300.0,建設省,建設省,20.605223479165574
6482,汚水,150.0,建設省,建設省,20.583470588696233
11682,雨水,300.0,建設省,建設省,20.52726667744555
11683,雨水,300.0,建設省,建設省,20.431825174075087
11669,雨水,400.0,建設省,建設省,20.399073899181076
10892,雨水,800.0,愛知県,愛知県,20.31131894904768
11703,雨水,300.0,建設省,建設省,20.309372270596302
11658,雨水,450.0,建設省,建設省,20.26336573985939
11656,雨水,450.0,建設省,建設省,20.073323694124078
11657,雨水,450.0,建設省,建設省,19.88269720256937
6357,汚水,300.0,建設省,建設省,19.669751511840943
11637,雨水,700.0,建設省,建設省,19.3013373808978
11668,雨水,400.0,建設省,建設省,19.231487473039202
10830,雨水,500.0,建設省,建設省,18.590290838826768
11713,雨水,300.0,建設省,愛知県,18.479630799963793
4006,汚水,200.0,愛知県,愛知県,18.475738014570013
16113,汚水,250.0,愛知県,愛知県,18.31601567188568
20706,汚水,150.0,愛知県,愛知県,18.081966320065767
6304,汚水,150.0,建設省,建設省,17.89479441818742
7636,汚水,200.0,愛知県,愛知県,17.85567142386726
17734,汚水,200.0,愛知県,愛知県,17.842174448275678
7159,汚水,200.0,愛知県,愛知県,17.679472233936735
5023,汚水,200.0,愛知県,愛知県,17.463673101286314
6368,汚水,150.0,建設省,建設省,17.21704299675989
14671,汚水,150.0,建設省,建設省,17.128375843195908
15705,汚水,150.0,愛知県,愛知県,16.957518093693082
7391,汚水,200.0,愛知県,愛知県,16.86952656370287
2218,汚水,200.0,愛知県,愛知県,16.693943650680588
11706,雨水,300.0,建設省,建設省,16.607686332498986
2217,汚水,200.0,愛知県,愛知県,16.581074906456298
1199,汚水,150.0,愛知県,愛知県,16.487955972660785
5460,汚水,200.0,愛知県,愛知県,16.364804106238605
181,汚水,200.0,愛知県,愛知県,16.3454419006628
6065,雨水,1500.0,愛知県,愛知県,16.335844196790035
11904,雨水,1650.0,愛知県,愛知県,16.039963050045518
6897,汚水,200.0,愛知県,愛知県,15.790752560606965
8365,汚水,150.0,建設省,建設省,15.73367012559267
6896,汚水,200.0,愛知県,愛知県,15.668855000667532
11707,雨水,300.0,建設省,建設省,15.664356003433113
1443,汚水,150.0,愛知県,愛知県,15.64099637327121
5458,汚水,250.0,愛知県,愛知県,15.514735569950357
20621,汚水,150.0,建設省,建設省,15.458037553321418
1350,汚水,300.0,愛知県,愛知県,15.215458645638455
11667,雨水,400.0,建設省,建設省,15.149019076696423
1365,汚水,200.0,愛知県,愛知県,15.122385371838163
6358,汚水,150.0,建設省,建設省,14.929505440648766
5289,汚水,200.0,愛知県,愛知県,14.803144083800078
4320,汚水,200.0,愛知県,愛知県,14.586275123795113
16103,汚水,150.0,愛知県,愛知県,14.559304611716474
5027,汚水,200.0,愛知県,愛知県,14.540568273045086
5018,汚水,200.0,愛知県,愛知県,14.484754654468388
5302,雨水,700.0,建設省,建設省,14.184415177745075
1372,汚水,200.0,愛知県,愛知県,14.162766828793952
4011,汚水,200.0,愛知県,愛知県,14.130017917826402
11643,雨水,800.0,建設省,建設省,14.07374806435699
1464,汚水,200.0,愛知県,愛知県,14.064102691064553
7130,汚水,200.0,愛知県,愛知県,14.054635853237771
11470,雨水,1200.0,愛知県,愛知県,14.026569344232962
14768,汚水,150.0,建設省,建設省,13.876269434361332
11655,雨水,450.0,建設省,建設省,13.79170762724679
11691,雨水,300.0,建設省,建設省,13.79074195097669
10323,汚水,300.0,愛知県,愛知県,13.771448818197085
11638,雨水,700.0,建設省,建設省,13.735810361948669
2219,汚水,200.0,愛知県,愛知県,13.583160821336211
1349,汚水,250.0,愛知県,愛知県,13.534854537553437
11660,雨水,400.0,建設省,建設省,13.363462014540948
11714,雨水,300.0,建設省,建設省,13.12472195386077
11671,雨水,400.0,建設省,建設省,13.05910184637526
4846,汚水,200.0,愛知県,愛知県,12.746691448503515
6483,汚水,150.0,建設省,建設省,12.611595613175908
11687,雨水,600.0,建設省,建設省,11.947249367306522
5026,汚水,200.0,愛知県,愛知県,11.905179592712955
19412,雨水,450.0,愛知県,愛知県,11.903220182481673
14760,汚水,150.0,建設省,建設省,11.861894714872664
