SAUID,sewer_type,length_m,mouth_share,mouth_m,near_m,middle_m
22093,汚水,64.05648076577681,0.156,10.0,10.0,44.06
22094,汚水,6.9979635552106165,1.0,7.0,0.0,0.0
22095,汚水,23.346196472398113,0.428,10.0,10.0,3.35
22096,汚水,32.8012900452294,0.305,10.0,10.0,12.8
22097,汚水,19.410794380359782,0.515,10.0,9.41,0.0
22098,汚水,32.49617759859912,0.308,10.0,10.0,12.5
22099,汚水,33.93222540656174,0.295,10.0,10.0,13.93
22100,汚水,33.99928959552233,0.294,10.0,10.0,14.0
22101,汚水,7.17005306815253,1.0,7.17,0.0,0.0
22102,汚水,27.30445621160608,0.366,10.0,10.0,7.3
22103,汚水,24.835040769037242,0.403,10.0,10.0,4.84
22104,汚水,33.51042953939431,0.298,10.0,10.0,13.51
22105,汚水,2.2672847196588166,1.0,2.27,0.0,0.0
22106,汚水,17.05297327736176,0.586,10.0,7.05,0.0
22107,汚水,29.008998676592604,0.345,10.0,10.0,9.01
22108,汚水,20.295116758514098,0.493,10.0,10.0,0.3
22109,汚水,28.302608347114937,0.353,10.0,10.0,8.3
22110,汚水,33.50982177180759,0.298,10.0,10.0,13.51
22111,汚水,40.61226596002638,0.246,10.0,10.0,20.61
22112,汚水,69.67969006664903,0.144,10.0,10.0,49.68
22113,汚水,34.969848756627414,0.286,10.0,10.0,14.97
22114,汚水,12.852878432481575,0.778,10.0,2.85,0.0
22115,汚水,2.7462064743869856,1.0,2.75,0.0,0.0
22116,汚水,57.674443650655036,0.173,10.0,10.0,37.67
22117,汚水,21.82564118439745,0.458,10.0,10.0,1.83
22118,汚水,24.401303760619527,0.41,10.0,10.0,4.4
22119,汚水,10.243980866828526,0.976,10.0,0.24,0.0
22120,汚水,30.556703465461695,0.327,10.0,10.0,10.56
22121,汚水,22.688295502696512,0.441,10.0,10.0,2.69
22122,汚水,56.74859637738488,0.176,10.0,10.0,36.75
22123,汚水,4.697224925422395,1.0,4.7,0.0,0.0
22124,汚水,33.19258281605394,0.301,10.0,10.0,13.19
22125,汚水,13.047930180674008,0.766,10.0,3.05,0.0
22126,汚水,6.871147823663453,1.0,6.87,0.0,0.0
22127,汚水,13.153186458037299,0.76,10.0,3.15,0.0
22128,汚水,23.938370140881844,0.418,10.0,10.0,3.94
22129,汚水,5.578674845290031,1.0,5.58,0.0,0.0
22130,汚水,22.911622251229602,0.436,10.0,10.0,2.91
22131,汚水,18.084180814740634,0.553,10.0,8.08,0.0
22132,汚水,5.165441510646982,1.0,5.17,0.0,0.0
22133,汚水,18.579411239325907,0.538,10.0,8.58,0.0
22134,汚水,4.988443043675259,1.0,4.99,0.0,0.0
22135,汚水,18.511167494243413,0.54,10.0,8.51,0.0
22136,汚水,17.856726553154402,0.56,10.0,7.86,0.0
22137,汚水,68.37740233136462,0.146,10.0,10.0,48.38
22138,汚水,36.08967501946089,0.277,10.0,10.0,16.09
22139,汚水,33.674464108266974,0.297,10.0,10.0,13.67
22140,汚水,8.13230994244054,1.0,8.13,0.0,0.0
22141,汚水,28.660786102738072,0.349,10.0,10.0,8.66
22142,汚水,8.196361504877501,1.0,8.2,0.0,0.0
22143,汚水,53.667881343551315,0.186,10.0,10.0,33.67
22144,汚水,43.765146894254315,0.228,10.0,10.0,23.77
22145,汚水,17.29910730072222,0.578,10.0,7.3,0.0
22146,汚水,10.030566534344873,0.997,10.0,0.03,0.0
22147,汚水,53.14282364549507,0.188,10.0,10.0,33.14
22148,汚水,16.95724999403591,0.59,10.0,6.96,0.0
